curso,grupo_tcc,no_corpus,periodo,ordem_periodo,egressos_acumulado,fonte
Pedagogia,Pedagogia,Sim,Até 2002.2,1,417,PROEG
Pedagogia,Pedagogia,Sim,2003–2008.2,2,615,PROEG
Pedagogia,Pedagogia,Sim,2009–2014.2,3,726,PROEG
Pedagogia,Pedagogia,Sim,2015–2020.2,4,822,PROEG
Pedagogia,Pedagogia,Sim,2021–2025.1,5,920,PROEG
História (L),História,Sim,Até 2002.2,1,272,PROEG
História (L),História,Sim,2003–2008.2,2,373,PROEG
História (L),História,Sim,2009–2014.2,3,447,PROEG
História (L),História,Sim,2015–2020.2,4,553,PROEG
História (L),História,Sim,2021–2025.1,5,612,PROEG
Geografia (L),Geografia,Sim,Até 2002.2,1,149,PROEG
Geografia (L),Geografia,Sim,2003–2008.2,2,255,PROEG
Geografia (L),Geografia,Sim,2009–2014.2,3,369,PROEG
Geografia (L),Geografia,Sim,2015–2020.2,4,445,PROEG
Geografia (L),Geografia,Sim,2021–2025.1,5,471,PROEG
Ciências Biológicas (L),Ciências Biológicas,Sim,Até 2002.2,1,150,PROEG
Ciências Biológicas (L),Ciências Biológicas,Sim,2003–2008.2,2,242,PROEG
Ciências Biológicas (L),Ciências Biológicas,Sim,2009–2014.2,3,287,PROEG
Ciências Biológicas (L),Ciências Biológicas,Sim,2015–2020.2,4,315,PROEG
Ciências Biológicas (L),Ciências Biológicas,Sim,2021–2025.1,5,350,PROEG
Química,Química,Sim,Até 2002.2,1,102,PROEG
Química,Química,Sim,2003–2008.2,2,202,PROEG
Química,Química,Sim,2009–2014.2,3,270,PROEG
Química,Química,Sim,2015–2020.2,4,300,PROEG
Química,Química,Sim,2021–2025.1,5,326,PROEG
Matemática (L),Matemática,Sim,Até 2002.2,1,60,PROEG
Matemática (L),Matemática,Sim,2003–2008.2,2,130,PROEG
Matemática (L),Matemática,Sim,2009–2014.2,3,183,PROEG
Matemática (L),Matemática,Sim,2015–2020.2,4,207,PROEG
Matemática (L),Matemática,Sim,2021–2025.1,5,235,PROEG
Insikiran — Comunicação e Artes,Insikiran,Sim,Até 2002.2,1,0,PROEG
Insikiran — Comunicação e Artes,Insikiran,Sim,2003–2008.2,2,14,PROEG
Insikiran — Comunicação e Artes,Insikiran,Sim,2009–2014.2,3,75,PROEG
Insikiran — Comunicação e Artes,Insikiran,Sim,2015–2020.2,4,158,PROEG
Insikiran — Comunicação e Artes,Insikiran,Sim,2021–2025.1,5,227,PROEG
Insikiran — Ciências da Natureza,Insikiran,Sim,Até 2002.2,1,0,PROEG
Insikiran — Ciências da Natureza,Insikiran,Sim,2003–2008.2,2,14,PROEG
Insikiran — Ciências da Natureza,Insikiran,Sim,2009–2014.2,3,67,PROEG
Insikiran — Ciências da Natureza,Insikiran,Sim,2015–2020.2,4,138,PROEG
Insikiran — Ciências da Natureza,Insikiran,Sim,2021–2025.1,5,177,PROEG
Insikiran — Ciências Sociais,Insikiran,Sim,Até 2002.2,1,0,PROEG
Insikiran — Ciências Sociais,Insikiran,Sim,2003–2008.2,2,9,PROEG
Insikiran — Ciências Sociais,Insikiran,Sim,2009–2014.2,3,59,PROEG
Insikiran — Ciências Sociais,Insikiran,Sim,2015–2020.2,4,113,PROEG
Insikiran — Ciências Sociais,Insikiran,Sim,2021–2025.1,5,152,PROEG
Física,Física,Sim,Até 2002.2,1,32,PROEG
Física,Física,Sim,2003–2008.2,2,68,PROEG
Física,Física,Sim,2009–2014.2,3,94,PROEG
Física,Física,Sim,2015–2020.2,4,108,PROEG
Física,Física,Sim,2021–2025.1,5,120,PROEG
LEDUCARR — Ciências da Natureza e Matemática,LEDUCARR,Sim,Até 2002.2,1,0,PROEG
LEDUCARR — Ciências da Natureza e Matemática,LEDUCARR,Sim,2003–2008.2,2,0,PROEG
LEDUCARR — Ciências da Natureza e Matemática,LEDUCARR,Sim,2009–2014.2,3,12,PROEG
LEDUCARR — Ciências da Natureza e Matemática,LEDUCARR,Sim,2015–2020.2,4,41,PROEG
LEDUCARR — Ciências da Natureza e Matemática,LEDUCARR,Sim,2021–2025.1,5,84,PROEG
Artes Visuais,Artes Visuais,Sim,Até 2002.2,1,0,PROEG
Artes Visuais,Artes Visuais,Sim,2003–2008.2,2,0,PROEG
Artes Visuais,Artes Visuais,Sim,2009–2014.2,3,4,PROEG
Artes Visuais,Artes Visuais,Sim,2015–2020.2,4,46,PROEG
Artes Visuais,Artes Visuais,Sim,2021–2025.1,5,78,PROEG
LEDUCARR — Ciências Humanas e Sociais,LEDUCARR,Sim,Até 2002.2,1,0,PROEG
LEDUCARR — Ciências Humanas e Sociais,LEDUCARR,Sim,2003–2008.2,2,0,PROEG
LEDUCARR — Ciências Humanas e Sociais,LEDUCARR,Sim,2009–2014.2,3,16,PROEG
LEDUCARR — Ciências Humanas e Sociais,LEDUCARR,Sim,2015–2020.2,4,60,PROEG
LEDUCARR — Ciências Humanas e Sociais,LEDUCARR,Sim,2021–2025.1,5,63,PROEG
Letras — Português (nova estrutura),Letras,Sim,Até 2002.2,1,0,PROEG
Letras — Português (nova estrutura),Letras,Sim,2003–2008.2,2,0,PROEG
Letras — Português (nova estrutura),Letras,Sim,2009–2014.2,3,0,PROEG
Letras — Português (nova estrutura),Letras,Sim,2015–2020.2,4,25,PROEG
Letras — Português (nova estrutura),Letras,Sim,2021–2025.1,5,50,PROEG
Letras — Inglês (nova estrutura),Letras,Sim,Até 2002.2,1,0,PROEG
Letras — Inglês (nova estrutura),Letras,Sim,2003–2008.2,2,0,PROEG
