curso_det,grupo_tcc,ano,egressos
Artes Visuais,Artes Visuais,2009,0
Artes Visuais,Artes Visuais,2010,0
Artes Visuais,Artes Visuais,2011,0
Artes Visuais,Artes Visuais,2012,0
Artes Visuais,Artes Visuais,2013,0
Artes Visuais,Artes Visuais,2014,4
Artes Visuais,Artes Visuais,2015,4
Artes Visuais,Artes Visuais,2016,6
Artes Visuais,Artes Visuais,2017,7
Artes Visuais,Artes Visuais,2018,10
Artes Visuais,Artes Visuais,2019,5
Artes Visuais,Artes Visuais,2020,10
Artes Visuais,Artes Visuais,2021,7
Artes Visuais,Artes Visuais,2022,7
Artes Visuais,Artes Visuais,2023,12
Artes Visuais,Artes Visuais,2024,3
Artes Visuais,Artes Visuais,2025,3
Artes Visuais,Artes Visuais,2026,0
Ciências Biológicas,Ciências Biológicas,1991,0
Ciências Biológicas,Ciências Biológicas,1992,0
Ciências Biológicas,Ciências Biológicas,1993,0
Ciências Biológicas,Ciências Biológicas,1994,24
Ciências Biológicas,Ciências Biológicas,1995,14
Ciências Biológicas,Ciências Biológicas,1996,5
Ciências Biológicas,Ciências Biológicas,1997,27
Ciências Biológicas,Ciências Biológicas,1998,5
Ciências Biológicas,Ciências Biológicas,1999,14
Ciências Biológicas,Ciências Biológicas,2000,10
Ciências Biológicas,Ciências Biológicas,2001,19
Ciências Biológicas,Ciências Biológicas,2002,32
Ciências Biológicas,Ciências Biológicas,2003,14
Ciências Biológicas,Ciências Biológicas,2004,19
Ciências Biológicas,Ciências Biológicas,2005,9
Ciências Biológicas,Ciências Biológicas,2006,15
Ciências Biológicas,Ciências Biológicas,2007,19
Ciências Biológicas,Ciências Biológicas,2008,16
Ciências Biológicas,Ciências Biológicas,2009,5
Ciências Biológicas,Ciências Biológicas,2010,4
Ciências Biológicas,Ciências Biológicas,2011,10
Ciências Biológicas,Ciências Biológicas,2012,10
Ciências Biológicas,Ciências Biológicas,2013,9
Ciências Biológicas,Ciências Biológicas,2014,7
Ciências Biológicas,Ciências Biológicas,2015,8
Ciências Biológicas,Ciências Biológicas,2016,1
Ciências Biológicas,Ciências Biológicas,2017,0
Ciências Biológicas,Ciências Biológicas,2018,6
Ciências Biológicas,Ciências Biológicas,2019,10
Ciências Biológicas,Ciências Biológicas,2020,2
Ciências Biológicas,Ciências Biológicas,2021,7
Ciências Biológicas,Ciências Biológicas,2022,6
Ciências Biológicas,Ciências Biológicas,2023,6
Ciências Biológicas,Ciências Biológicas,2024,10
Ciências Biológicas,Ciências Biológicas,2025,5
Ciências Biológicas,Ciências Biológicas,2026,0
Física,Física,1991,0
Física,Física,1992,0
Física,Física,1993,0
Física,Física,1994,1
Física,Física,1995,0
Física,Física,1996,8
Física,Física,1997,0
Física,Física,1998,5
