curso,grupo_tcc,no_corpus,egressos_total
Pedagogia,Pedagogia,Sim,920
História (L),História,Sim,612
Geografia (L),Geografia,Sim,471
Ciências Biológicas (L),Ciências Biológicas,Sim,350
Química,Química,Sim,326
Letras — Hab. Literatura/Português (antiga),Letras,Sim,289
Matemática (L),Matemática,Sim,235
Insikiran — Comunicação e Artes,Insikiran,Sim,227
Insikiran — Ciências da Natureza,Insikiran,Sim,177
Insikiran — Ciências Sociais,Insikiran,Sim,152
Letras — Hab. Espanhol (antiga),Letras,Sim,123
Física,Física,Sim,120
Letras — Hab. Inglês (antiga),Letras,Sim,92
LEDUCAR — Ciências da Natureza e Matemática,LEDUCAR,Sim,84
Artes Visuais,Artes Visuais,Sim,78
LEDUCAR — Ciências Humanas e Sociais,LEDUCAR,Sim,63
Letras — Português (nova estrutura),Letras,Sim,50
Letras — Inglês (nova estrutura),Letras,Sim,46
Letras — Espanhol (nova estrutura),Letras,Sim,41
Música,Música,Sim,41
Letras — Hab. Francês (antiga),Letras,Sim,27
Letras — Francês (nova estrutura),Letras,Sim,20
