curso,grupo_tcc,no_corpus,periodo,ordem_periodo,egressos_acumulado
Pedagogia,Pedagogia,Sim,Até 2002.2,1,417
Pedagogia,Pedagogia,Sim,2003–2008.2,2,615
Pedagogia,Pedagogia,Sim,2009–2014.2,3,726
Pedagogia,Pedagogia,Sim,2015–2020.2,4,822
Pedagogia,Pedagogia,Sim,2021–2025.1,5,920
História (L),História,Sim,Até 2002.2,1,272
História (L),História,Sim,2003–2008.2,2,373
História (L),História,Sim,2009–2014.2,3,447
História (L),História,Sim,2015–2020.2,4,553
História (L),História,Sim,2021–2025.1,5,612
Geografia (L),Geografia,Sim,Até 2002.2,1,149
Geografia (L),Geografia,Sim,2003–2008.2,2,255
Geografia (L),Geografia,Sim,2009–2014.2,3,369
Geografia (L),Geografia,Sim,2015–2020.2,4,445
Geografia (L),Geografia,Sim,2021–2025.1,5,471
Ciências Biológicas (L),Ciências Biológicas,Sim,Até 2002.2,1,150
Ciências Biológicas (L),Ciências Biológicas,Sim,2003–2008.2,2,242
Ciências Biológicas (L),Ciências Biológicas,Sim,2009–2014.2,3,287
Ciências Biológicas (L),Ciências Biológicas,Sim,2015–2020.2,4,315
Ciências Biológicas (L),Ciências Biológicas,Sim,2021–2025.1,5,350
Química,Química,Sim,Até 2002.2,1,102
Química,Química,Sim,2003–2008.2,2,202
Química,Química,Sim,2009–2014.2,3,270
Química,Química,Sim,2015–2020.2,4,300
Química,Química,Sim,2021–2025.1,5,326
Matemática (L),Matemática,Sim,Até 2002.2,1,60
Matemática (L),Matemática,Sim,2003–2008.2,2,130
Matemática (L),Matemática,Sim,2009–2014.2,3,183
Matemática (L),Matemática,Sim,2015–2020.2,4,207
Matemática (L),Matemática,Sim,2021–2025.1,5,235
Insikiran — Comunicação e Artes,Insikiran,Sim,Até 2002.2,1,0
Insikiran — Comunicação e Artes,Insikiran,Sim,2003–2008.2,2,14
Insikiran — Comunicação e Artes,Insikiran,Sim,2009–2014.2,3,75
Insikiran — Comunicação e Artes,Insikiran,Sim,2015–2020.2,4,158
Insikiran — Comunicação e Artes,Insikiran,Sim,2021–2025.1,5,227
Insikiran — Ciências da Natureza,Insikiran,Sim,Até 2002.2,1,0
Insikiran — Ciências da Natureza,Insikiran,Sim,2003–2008.2,2,14
Insikiran — Ciências da Natureza,Insikiran,Sim,2009–2014.2,3,67
Insikiran — Ciências da Natureza,Insikiran,Sim,2015–2020.2,4,138
Insikiran — Ciências da Natureza,Insikiran,Sim,2021–2025.1,5,177
Insikiran — Ciências Sociais,Insikiran,Sim,Até 2002.2,1,0
Insikiran — Ciências Sociais,Insikiran,Sim,2003–2008.2,2,9
Insikiran — Ciências Sociais,Insikiran,Sim,2009–2014.2,3,59
Insikiran — Ciências Sociais,Insikiran,Sim,2015–2020.2,4,113
Insikiran — Ciências Sociais,Insikiran,Sim,2021–2025.1,5,152
Física,Física,Sim,Até 2002.2,1,32
Física,Física,Sim,2003–2008.2,2,68
Física,Física,Sim,2009–2014.2,3,94
Física,Física,Sim,2015–2020.2,4,108
Física,Física,Sim,2021–2025.1,5,120
LEDUCAR — Ciências da Natureza e Matemática,LEDUCAR,Sim,Até 2002.2,1,0
LEDUCAR — Ciências da Natureza e Matemática,LEDUCAR,Sim,2003–2008.2,2,0
LEDUCAR — Ciências da Natureza e Matemática,LEDUCAR,Sim,2009–2014.2,3,12
LEDUCAR — Ciências da Natureza e Matemática,LEDUCAR,Sim,2015–2020.2,4,41
LEDUCAR — Ciências da Natureza e Matemática,LEDUCAR,Sim,2021–2025.1,5,84
Artes Visuais,Artes Visuais,Sim,Até 2002.2,1,0
Artes Visuais,Artes Visuais,Sim,2003–2008.2,2,0
Artes Visuais,Artes Visuais,Sim,2009–2014.2,3,4
Artes Visuais,Artes Visuais,Sim,2015–2020.2,4,46
Artes Visuais,Artes Visuais,Sim,2021–2025.1,5,78
LEDUCAR — Ciências Humanas e Sociais,LEDUCAR,Sim,Até 2002.2,1,0
LEDUCAR — Ciências Humanas e Sociais,LEDUCAR,Sim,2003–2008.2,2,0
LEDUCAR — Ciências Humanas e Sociais,LEDUCAR,Sim,2009–2014.2,3,16
LEDUCAR — Ciências Humanas e Sociais,LEDUCAR,Sim,2015–2020.2,4,60
LEDUCAR — Ciências Humanas e Sociais,LEDUCAR,Sim,2021–2025.1,5,63
Letras — Português (nova estrutura),Letras,Sim,Até 2002.2,1,0
Letras — Português (nova estrutura),Letras,Sim,2003–2008.2,2,0
Letras — Português (nova estrutura),Letras,Sim,2009–2014.2,3,0
Letras — Português (nova estrutura),Letras,Sim,2015–2020.2,4,25
Letras — Português (nova estrutura),Letras,Sim,2021–2025.1,5,50
Letras — Inglês (nova estrutura),Letras,Sim,Até 2002.2,1,0
Letras — Inglês (nova estrutura),Letras,Sim,2003–2008.2,2,0
Letras — Inglês (nova estrutura),Letras,Sim,2009–2014.2,3,0
Letras — Inglês (nova estrutura),Letras,Sim,2015–2020.2,4,23
Letras — Inglês (nova estrutura),Letras,Sim,2021–2025.1,5,46
Letras — Espanhol (nova estrutura),Letras,Sim,Até 2002.2,1,0
Letras — Espanhol (nova estrutura),Letras,Sim,2003–2008.2,2,0
Letras — Espanhol (nova estrutura),Letras,Sim,2009–2014.2,3,0
Letras — Espanhol (nova estrutura),Letras,Sim,2015–2020.2,4,21
Letras — Espanhol (nova estrutura),Letras,Sim,2021–2025.1,5,41
Música,Música,Sim,Até 2002.2,1,0
Música,Música,Sim,2003–2008.2,2,0
Música,Música,Sim,2009–2014.2,3,0
Música,Música,Sim,2015–2020.2,4,16
Música,Música,Sim,2021–2025.1,5,41
Letras — Francês (nova estrutura),Letras,Sim,Até 2002.2,1,0
Letras — Francês (nova estrutura),Letras,Sim,2003–2008.2,2,0
Letras — Francês (nova estrutura),Letras,Sim,2009–2014.2,3,0
Letras — Francês (nova estrutura),Letras,Sim,2015–2020.2,4,16
Letras — Francês (nova estrutura),Letras,Sim,2021–2025.1,5,20
Letras — Hab. Literatura/Português (antiga),Letras,Sim,Até 2002.2,1,159
Letras — Hab. Literatura/Português (antiga),Letras,Sim,2003–2008.2,2,248
Letras — Hab. Literatura/Português (antiga),Letras,Sim,2009–2014.2,3,289
Letras — Hab. Literatura/Português (antiga),Letras,Sim,2015–2020.2,4,289
Letras — Hab. Literatura/Português (antiga),Letras,Sim,2021–2025.1,5,289
Letras — Hab. Espanhol (antiga),Letras,Sim,Até 2002.2,1,45
Letras — Hab. Espanhol (antiga),Letras,Sim,2003–2008.2,2,78
Letras — Hab. Espanhol (antiga),Letras,Sim,2009–2014.2,3,123
Letras — Hab. Espanhol (antiga),Letras,Sim,2015–2020.2,4,123
Letras — Hab. Espanhol (antiga),Letras,Sim,2021–2025.1,5,123
Letras — Hab. Inglês (antiga),Letras,Sim,Até 2002.2,1,34
Letras — Hab. Inglês (antiga),Letras,Sim,2003–2008.2,2,53
Letras — Hab. Inglês (antiga),Letras,Sim,2009–2014.2,3,93
Letras — Hab. Inglês (antiga),Letras,Sim,2015–2020.2,4,92
Letras — Hab. Inglês (antiga),Letras,Sim,2021–2025.1,5,92
Letras — Hab. Francês (antiga),Letras,Sim,Até 2002.2,1,12
