id,grupo_tcc,curso_fonte,titulo,tipo_tcc,autor,orientador,coorientador,banca_examinadora,ano_defesa,semestre_defesa,paginas,palavras_chave,resumo_disponivel,resumo,tcc_digital,formato,disponivel_integral,link,arquivo,pesquisador,observacoes_acesso,observacoes_analise,carimbo,em_ambos_forms,fonte,conflitos,ano_num,pag_num,topico_dom,topico_prob,cluster,tem_indigena
1,Matemática,Matemática,Contribuições da teoria histórico-cultural para aprendizagem desenvolvimental em expressões algébricas e valor numérico nos estudantes do 8° ano do Ensino Fundamental no Colégio de Aplicação da Universidade Federal de Roraima (CAp-UFRR).,Monografia,CRISTINA INGRID DOS SANTOS SILVA,Héctor José García Mendoza,Prof. Me. Adriana Regina da Rocha Chirone,Prof. Dr. Héctor José García Mendoza Orientador / Curso de Matemática – UFRR Prof. Dr. Alberto Martin Martínez Castañeda Curso de Matemática – UFRR Prof. Dr. Oscar Tintorer Delgado Curso de Física – UERR,2018,1º semestre,60,"Expressões Algébricas, Formação por etapas das ações mentais, Atividade de Situações Problema, Ensino aprendizagem desenvolvimental.",Sim,"Diante de vários recursos disponíveis, ainda é comum na maioria das escolas, professores de Matemática ministrando aula de forma tradicional, onde a grande maioria dos estudantes, não alcançam assimilação dos conteúdos de maneira eficiente. O processo de ensino aprendizagem deve estar fundamentado por teorias de aprendizagem que tenha como enfoque a cognição, desta maneira se apresentará brevemente a evolução da teoria histórico-cultural de Vygotsky, continuado pela teoria da atividade de Leóntiev, até a teoria de formação por etapas das ações mentais de Galperin. O objetivo deste trabalho é analisar as contribuições da teoria histórico-cultural para uma aprendizagem desenvolvimental no conteúdo de expressões algébricas e valor numérico nos estudantes do 8º ano do Ensino Fundamental II, do Colégio de Aplicação da Universidade Federal de Roraima (CAp-UFRR). A Atividade de Situações Problema (ASP) em Matemática, é compreendida como um sistema de conteúdos de matemática baseado na teoria de Galperin. Como experimento fundamentado nas teorias mencionadas, apresentam-se os resultados da prova de lápis e papel, no conteúdo de expressões algébricas e valor numérico, com intuito de analisar a aprendizagem através da ASP. A prova de lápis e papel foi utilizada, como instrumento para obtenção de resultados, através de análises quantitativa e qualitativa, com enfoque principal na qualitativa. Diante dos resultados obtidos, a grande maioria dos estudantes, mostram evidencia de uma aprendizagem desenvolvimental no conteúdo estudado. Ao final será proposto um plano de ensino fundamentado em uma base orientadora geral, completa e independente.",Sim,Digital nativo,Sim,www.hectorufrr.com.br/publica%C3%A7%C3%B5es,https://drive.google.com/open?id=1pUVIhFoo80sBG8o4UoE78sFUJ1tmzaR2,Fabricio Batista da Silva,Arquivo disponível de forma digital sem restrições de acesso,"Esta mamografia se destaca positivamente, pois contem todas as informações solicitadas para análise, diferente de algumas mamografias do curso de licenciatura em matemática, na qual não informa o ano de defesa. Esta mamografia informa precisamente o ano é o dia de sua defesa. O número de página que consta na mamografia é compatível com o que o contador do programa ultilizando para analise e leitura desde trabalho.",03/06/2026 16:49:09,Não,Form1,,2018.0,60.0,0.0,0.9938122786657788,1.0,False
2,Matemática,Matemática,Contribuições da Teoria Histórico – Cultural para uma aprendizagem desenvolvimental na resolução de equações de 1º grau nos estudantes de 8° ano de Ensino Fundamental na Escola Estadual Monteiro Lobato.,Monografia,LUIZ FELIPE MARTINS NASCIMENTO,Héctor José García Mendoza,Não se aplica,Prof. Dr. Héctor José García Mendoza Orientador / Curso de Matemática – UFRR Prof. Dr. Alberto Martin Martínez Castañeda Curso de Matemática – UFRR Prof. Dr. Oscar Tintorer Delgado Curso de Física – UERR,2017,2º semestre,45,"Equações de 1º grau, Formação por etapas das ações mentais, Atividade de situações problema, Base Orientadora da Ação.",Sim,"Na atualidade, a quantidade de pessoas que não sabe como resolver uma equação de 1º grau é muito alta, fazendo uma comparação de entre as equações de 1º e 2º grau, a maioria prefere responder a de 2º grau, pois segundo eles tem formulas pré-definidas. O processo de ensino aprendizagem deve estar fundamentado por teorias de aprendizagem que tenha como enfoque a cognição, por isso será apresentada brevemente a evolução da teoria histórico-cultural de Vygotsky, continuando pela teoria da atividade de Leóntiev até a teoria de formação por etapas das ações mentais de Galperin. Neste trabalho a Atividade de Situações Problema em Matemática é compreendida como um sistema de quatro ações para o ensino aprendizagem na resolução de problemas em matemática baseado na teoria de Galperin. O que será apresentada também, uma experiência aplicada no conteúdo de equações de 1º grau na turma 8º ano da escola estadual Monteiro Lobato utilizando a resolução de problemas com a perspectiva de analisar a aprendizagem na Atividade de Situações Problema em Equações com a pesquisa sendo qualitativa – quantitativa, fundamentado na teoria de Galperin quanto ao nível de partida dos alunos e propor uma sequência didática. E para finalizar o nível de partida na Atividade de Situações Problema em Matemática dos alunos, não tiveram bons resultados, o que foi proposto que uma sequência didática baseada numa base orientadora geral, completa e independente.",Sim,Digital nativo,Sim,www.hectorufrr.com.br/publica%C3%A7%C3%B5es,https://drive.google.com/open?id=1OhnbMJA_8z72dMiEgCj-UWFPGCAd0Cgk,Fabricio Batista da Silva,Arquivo disponível de forma digital e sem restrições de acesso,"Essa monografia se destaca positivamente, nele conta os dados solicitados para a catalogação, o número de páginas é condizente com o contador do programa utilizado para leitura e análise. Destaco que neste trabalho foi colocado o ano e o dia de defesa, destaco também que no resumo, o idioma utilizado onde seria o ""ABSTRACT"", foi o espanhol. No trabalho fica explicito que é do tipo mamografia.",03/06/2026 17:33:51,Não,Form1,,2017.0,45.0,0.0,0.992959332206274,1.0,False
3,Matemática,Matemática,RELATO DE UMA EXPERIÊNCIA DA APRENDIZAGEM NAS OPERAÇÕES MATEMÁTICAS UTILIZANDO A LINGUAGEM LIBRAS PARA UM ESTUDANTE COM DEFICIÊNCIAS AUDITIVAS DO 7º ANO,Monografia,LEILA SOARES GOMES,Héctor José García Mendoza,Não se aplica,Prof. Dr. Héctor José García Mendoza (UFRR) Prof. Dr. Alberto Martin Martínez Castañeda (UFRR) Prof. Dr. Oscar Tintorer Delgado (UERR),2017,Não informado,49,"Linguagem de sinais, Números e operações, Educação Especial.",Sim,"A pesquisa visa investigar a experiência da aprendizagem com operações matemáticas na linguagem de libras com um estudante no ensino fundamental, observando como acontece o aprendizado das operações matemáticas dentro de sala de aula e verificando a técnica utilizada do professor interprete que trabalha com aluno surdo em Boa Vista, Roraima, descrevendo as principais metodologias utilizadas por este professor. O estudo vem dispor de forma clara à importância do ensino da matemática para o aluno em inclusão, ressaltando que toda linguagens de sinais, por mais simples que pareça, transmite algo a mais no desenvolvimento da criança, de uma forma criativa e reflexiva.",Sim,Digital nativo,Sim,www.hectorufrr.com.br/publica%C3%A7%C3%B5es,https://drive.google.com/open?id=1eHlk2GK0WYOjeTzEF1n0s8lRkYw4_bxT,Fabricio Batista da Silva,Arquivo disponível de forma digital e sem restrições de acesso,"Neste trabalho não conta o semestre de defesa, coloquei o ano conforme consta na capa, os números de páginas são condizentes conforme consta no arquivo e no leitor utilizado para leitura e analise. Destaco que o idioma utilizado onde seria o ""ABSTRACT"", foi o espanhol, a maioria dos TCCs de licenciaturas em matemática analisados, usa o espanhol no lugar do inglês. Queria destacar também, uma questão em relação a banca examinadora, na qual em grande parte dos TCCs analisados, contem um membro externo, na qual pertence a outra instituição, Por exemplo da Universidade Estadual de Roraima (UER). Outro ponto observado é na forma em que o tema é colocado, em alguns trabalhos são colocados em ""CAIXA ALTA"", em outros são colocados ""PascalCase"" da mesma maneira também o nome do autor. Este trabalho em específico não contem ficha catalográfica.",03/06/2026 18:06:58,Não,Form1,,2017.0,49.0,3.0,0.3406440146907641,3.0,False
4,Matemática,Matemática,A APRENDIZAGEM DA ATIVIDADE DE SITUAÇÕES PRO-BLEMA EM SISTEMA DE EQUAÇÕES LINEARES FUNDA-MENTADO NA TEORIA DE FORMAÇÃO POR ETAPAS DAS AÇÕES MENTAIS DE GALPERIN NOS ESTUDANTES DO 2º ANO DE ENSINO MÉDIO DA ESCOLA ESTADUAL MARIA DAS DORES BRASIL,Monografia,JARDEL SOUSA LEITE,Héctor José García Mendoza,Não se aplica,Prof. Dr. Héctor José García Mendoza Orientador / Curso de Matemática - UFRR Prof. Msc. José Ivanildo de Lima Curso de Matemática – UFRR Prof. Dr. Oscar Tintorer Delgado Curso de Física – UERR,2016,1º semestre,48,"Sistemas lineares, Formação por etapas das ações mentais, Atividade de situações problema, Base Orientadora da Ação.",Sim,"Na atualidade é frequente encontrar professores de Matemática ministrando aulas de forma empírica na Educação Básica, ainda que nos cursos de formação de professores exista a disciplina Didática da Matemática. O processo de ensino aprendizagem deve estar fundamentado por teorias de aprendizagem que tenha como enfoque a cognição, por isso será apresentada brevemente a evolução da teoria histórico-cultural de Vygotsky, continuando pela teoria da atividade de Leóntiev até a teoria de formação por etapas das ações mentais de Galperin; esta última será o fundamento central da pesquisa. Neste trabalho a Atividade de Situações Problema em Matemática é compreendida como um sistema de quatro ações para o ensino aprendizagem na resolução de problemas em matemática baseado na teoria de Galperin. Será ex-posta uma experiência aplicada no conteúdo de sistema de equações lineares na turma 201 da escola estadual Maria das Dores Brasil utilizando a resolução de problemas com a perspectiva de analisar a aprendizagem na Atividade de Situações Problema em Sistema de Equações lineares, fundamentado na teoria de Galperin quanto ao nível de partida dos alunos e propor uma sequência didática. Conclui-se que o nível de partida na Atividade de Situações Problema em Matemática não é favorável e propõem-se uma sequência didática baseada numa base orientadora geral, completa e independente.",Sim,Digital nativo,Sim,www.hectorufrr.com.br/publica%C3%A7%C3%B5es,https://drive.google.com/open?id=1miwelcUUFSbk0tPx3LdADW9w1pUFu8QQ,Fabricio Batista da Silva,Arquivo disponível de forma digital e sem restrições de acesso,"A monografia se destaca positivamente e contem todas as informações solicitadas na catalogação, este é o penúltimo trabalho do curso de licenciatura em matemática a ser catalogado do site disponível, destaco que até o presente momento forma analisados 14 TCCs, com isso no quesito de formatação, encontrei algumas divergência, principalmente no quesito, ""TEMA DO TCC"", 'PALAVRAS CHAVES"" , na palavras Chaves, não usam ponto e virgula; e não colocam as ""Palavras chaves"" em negrito. Em relação ao tema uns colocam em ""CAIXA ALTA"" e outros não. Outro ponto que esta definido como padrão e a catalogação bibliotecária, de todos analisados até o momento somente um TCC, não tinha essa catalogação bibliotecária. O número de páginas deste trabalho esta condizente conforme o contador do programa utilizado para leitura e analise.",03/06/2026 20:18:03,Não,Form1,,2016.0,48.0,0.0,0.9931228242987304,1.0,False
5,Insikiran,Insikiran – Ciências da Natureza,APRENDENDO MATEMÁTICA DE FORMA LÚDICA NA ESCOLA ESTADUAL INDÍGENA JOSÉ JOAQUIM EM RORAIMA,Monografia,JEFFERSON FERREIRA,Mariana Souza da Cunha,Não se aplica,Profa Me. Mariana Souza da Cunha Licenciatura Intercultural/Orientadora/UFRR Prof. Dr. Michael Lopes da Silva Rolim Licenciatura Intercultural/Membro/UFRR Profa. Dra. Ise de Goreth Silva Gestão Territorial Indígena/Membro/UFRR,2024,Não informado,39,"Educação indígena,Matemática,Lúdico,Material didático.",Sim,"O Brasil atualmente abriga 305 povos indígenas, falantes de 274 línguas diferentes. Isso mostra o quanto a Educação Escolar Indígena é representativa no país, e busca lhe dá com grandes desafios diante de suas especificidades em se tratando das pluralidades dentro das sociedades envolventes no que tange as atividades pedagógicas, com uma sociedade autêntica e de grande responsabilidade que faz acontecer a educação diferenciada e de qualidade. A Educação Escolar Indígena veio se fortalecer no auge da década de 80 quando as lideranças fizeram um dia “D” e se questionando: - Que escola temos? E que escola queremos? Antes de tudo, a própria constituição brasileira nos garante a educação como cidadãos brasileiros. O objetivo principal deste trabalho foi mostrar como as atividades lúdicas que fazem parte do cotidiano dos alunos são importantes no ensino da matemática. Para isso foi preciso realizar um levantamento bibliográfico e também foi realizado o diagnóstico, entrevista e aplicado questionário na Escola Estadual Indígena José Joaquim, com professores, estudantes e pais de aluno. De imediato foi perceptivel que as dificuldades se concentravam no ensino da matemática tradicional, com isso propusemos esse trabalho. A partir desse levantamento realizamos aulas sobre as operações de matemática adição e subtração, divisão e multiplicação trabalhados conforme a série dos alunos, realizamos aulas de desenhos de diversas formas e modelos para que os alunos pudessem perceber as figuras geométricas, elaboramos cantos que enfocaram a matemática contextualizada com a realidade dos alunos e de sua vivência comunitária. Além disso, percebemos que o aluno aprende a matemática em casa desde que o contexto seja tratado como forma de ensino, ou seja, quando um trabalho é realizado em roças e plantações, é possível usar a matemática no dia a dia para a metragem da área em m2. Não existe um povo sem cultura, existem com suas especificidades e com suas ideologias, então, é preciso ser levado em consideração a educação escolar, educação escolar indígena e educação indígena.",Sim,Digital nativo,Sim,https://drive.google.com/file/d/1Ohh9PhjZLyqqVei74ezmTv6HwdjowSui/view?usp=sharing,https://drive.google.com/open?id=107RtPqk9o7hnfnTbJ8mvkxU0HBw_qcck,Jelynne Ewellyn Felipe Pinto,,,04/06/2026 11:52:44,Não,Form1,,2024.0,39.0,2.0,0.993350275035388,0.0,True
6,Insikiran,Insikiran – Ciências da Natureza,"EDUCAÇÃO AMBIENTAL E ÁGUA NA ESCOLA ESTADUAL INDÍGENA KO ́KO ISABEL MACUXI, COMUNIDADE INDÍGENA ENSEADA, UIRAMUTÃ-RR",Relato de experiência,LUCILENE DA SILVA SOUZA,Ricardo Carvalho dos Santos,Não se aplica,Prof. Dr. Ricardo Carvalho dos Santos Presidente/Orientador/Curso de Licenciatura Intercultural/UFRR. Profa. Dra. Hosana Carolina dos Santos Barreto Membro Titular/Curso de Gestão em Saúde Coletiva Indígena/UFRR Profa. MSc. Virgínia Marne da Silva Araújo dos Santos Membro Titular/Curso de Licenciatura em Matemática/IFRR,2024,Não informado,27,"Conscientização ambiental, educação indígena, sustentabilidade.",Sim,"O trabalho ""Educação Ambiental na Escola Estadual Indígena Ko ́ko Isabel Macuxi, Comunidade Indígena Enseada, Uiramutã-RR"" teve como objetivo promover a conscientização ambiental entre os alunos do 9o ano do ensino fundamental II. Para isso, foram desenvolvidos materiais didáticos específicos que integraram conhecimentos tradicionais indígenas e científicos, e os professores foram capacitados para aplicar metodologias lúdicas e contextualizadas em sala de aula. As atividades pedagógicas abordaram temas relevantes como poluição da água, desmatamento, conservação de recursos naturais e sustentabilidade, utilizando cartilhas educativas e estratégias interativas. O trabalho buscou não apenas educar os alunos sobre questões ambientais, mas também valorizar e preservar a cultura indígena, incentivando práticas sustentáveis e a reflexão sobre a relação entre a comunidade e o meio ambiente. As avaliações periódicas demonstraram um impacto positivo na conscientização dos alunos, que participaram ativamente das atividades e mostraram um maior entendimento e preocupação com as questões ambientais. A socialização dos resultados envolveu a comunidade escolar e local, promovendo eventos e apresentações que destacaram a importância da educação ambiental. A documentação das práticas pedagógicas e dos resultados visa garantir a continuidade e a disseminação das boas práticas para outras instituições de ensino. Em suma, o trabalho contribuiu significativamente para a formação de cidadãos conscientes e comprometidos com a preservação ambiental, integrando saberes tradicionais e científicos de maneira harmoniosa e eficaz.",Sim,Digital nativo,Sim,https://drive.google.com/file/d/1VyHujdq8QFA35SbwBpFb_G-PJnEMAMgc/view?usp=sharing,https://drive.google.com/open?id=12A0llv0K5n4poSfrvdawEjLgT94xT5rz,Jelynne Ewellyn Felipe Pinto,,,04/06/2026 12:01:44,Não,Form1,,2024.0,27.0,2.0,0.8300005085433007,0.0,True
7,Insikiran,Insikiran – Ciências da Natureza,ELEMENTOS QUÍMICOS DA TABELA PERIÓDICA EM LÍNGUA INDÍGENA COMO MATERIAL DIDÁTICO CONTEXTUALIZADO PARA O ENSINO DE QUÍMICA/CIÊNCIAS,Projeto de ensino/intervenção,TEWTON WAI WAI,Ricardo Carvalho dos Santos,Profa. Dra. Hosana Carolina dos Santos Barreto,Prof. Dr. Ricardo Carvalho dos Santos Presidente/Orientador/Curso de Licenciatura Intercultural/Insikiran/UFRR Profa. Dra. Ednalva Dantas Rodrigues da Silva Duarte Membro Titular/Curso de Licenciatura em Química/UFRR Profa. MSc. Virgínia Marne da Silva Araújo dos Santos Membro Titular/Curso de Licenciatura em Matemática/IFRR,2024,Não informado,54,"Ensino contextualizado, Tabela Periódica, conhecimentos tradicionais, linguagem minoritária, alfabetização científica, material instrucional",Sim,"O ensino de ciências ou de química pode ser desafiador, pois as aulas podem ser cansativas e descontextualizadas, como também não haver a transposição didática eficaz pelo professor e, associada à passividade dos discentes, possibilita a falta de compreensão dos conteúdos formativos de ciências ou de química. Essa falta de compreensão pode gerar uma falta de fluidez. Desta forma, a alfabetização científica pode ficar prejudicada, ou seja, a compreensão e o domínio dos conceitos, princípios e métodos fundamentais da ciência/química, possivelmente não ocorra. Dessa maneira, o principal objetivo deste trabalho de conclusão de curso foi o de construir elementos químicos da Tabela Periódica contextualizados e em língua indígena waiwai como material didático para o ensino de química/ciências. O desenvolvimento do trabalho se deu incialmente por uma breve revisão da literatura sobre a temática, seguido de uma análise documental como fonte de pesquisa uma Bíblia em língua indígena waiwai impressa. Após a identificação dos sete elementos químicos, buscou- se informações na literatura sobre seus usos no geral e em comunidades indígenas. Em seguida foi feita uma apresentação da Tabela Periódica utilizando uma já pronta, porém didática chamada de “Tabela Periódica dos Elementos, em Figuras e Palavras” a uma turma de calouros da disciplina de CN1 do curso de Licenciatura Intercultural na UFRR. Muitos dos elementos fazem parte do cotidiano dos alunos, os sete elementos químicos identificados foram apresentados em português e em waiwai, o qual chamou muito a atenção dos alunos pela possibilidade de construção de materiais didáticos para o ensino de química/ciências em língua materna. Após esse momento, foi construído materiais didáticos ilustrados baseado na Tabela Periódica, nos elementos químicos encontrados e em língua waiwai, para ser utilizado em escola indígena em momento oportuno.",Sim,Digital nativo,Sim,https://drive.google.com/file/d/1inb3oI6pawaKeaUzMcAmSLAe3MpIIDKp/view?usp=sharing,https://drive.google.com/open?id=1-T5IbsoYuE44V7FhfZpxpJiaiQyhzka8,Jelynne Ewellyn Felipe Pinto,,,04/06/2026 12:09:32,Não,Form1,,2024.0,54.0,2.0,0.8765723260705299,0.0,True
8,Insikiran,Insikiran – Ciências da Natureza,GRAFISMO INDÍGENA: UM RECURSO DIDÁTICO PARA O ENSINO DE GEOMETRIA PLANA,Relato de experiência,MAKDENESON SANTOS DE ALMEIDA,Ricardo Carvalho dos Santos,Não se aplica,Prof. Dr. Ricardo Carvalho dos Santos Orientador/Curso de Licenciatura Intercultural - UFRR Prof. Dr. Michael Lopes da Silva Rolim Membro Interno/Curso de Licenciatura Intercultural/UFRR Profa. MSc. Virgínia Marne da Silva Araújo dos Santos Membro Externo/Curso de Licenciatura em Matemática/IFRR,2024,Não informado,48,Grafismo Indígena; Geometria Plana; Metodologia de Ensino de Matemática.,Sim,"O presente trabalho explorou a metodologia de pesquisa de campo e aplicada à turma do terceiro ano do Ensino Médio na Escola Estadual Indígena Tuxaua Antônio Horácio. A escola está situada ao norte do estado de Roraima, nas proximidades da BR-174, na zona rural do município de Pacaraima, cerca de 190 km da capital Boa Vista. Pertencente à Comunidade Indígena Boca da Mata, esta escola é um ambiente rico em cultura e tradições indígenas. Meu foco específico é avaliar a metodologia de ensino de geometria plana através do grafismo indígena. Assim foi investigado a eficácia desta metodologia, observando como os alunos respondem ao aprendizado da geometria plana por meio do grafismo indígena e quais os impactos percebidos em seu engajamento e compreensão da matéria. Sendo o objetivo desse Utilizar grafismos indígenas do povo Macuxi como ferramenta metodológica no ensino de Geometria Plana na disciplina de Matemática na turma de 3o Ano do Ensino Médio da Escola Estadual Indígena Tuxaua Antônio Horácio. Ao longo deste estudo sobre a importância do grafismo indígena como metodologia de aprendizagem para o ensino de geometria plana, pude compreender profundamente a riqueza cultural e educacional que este recurso oferece. Minha jornada de pesquisa me levou a explorar não apenas os aspectos matemáticos subjacentes aos padrões geométricos presentes no grafismo indígena, mas também a sua relevância no contexto da preservação e valorização da cultura dos povos originários.",Sim,Digital nativo,Sim,https://drive.google.com/file/d/1_LIv9tWFrsO3HrLW-83JyEl_U6CqEWYZ/view?usp=sharing,https://drive.google.com/open?id=1RmMPbW4O-nVoKQ7tPe3XYWA1-3-hF1Po,Jelynne Ewellyn Felipe Pinto,,,04/06/2026 12:18:33,Não,Form1,,2024.0,48.0,2.0,0.8352059273241733,0.0,True
9,Insikiran,Insikiran – Ciências da Natureza,"YUTUHAMƗ THËXO, TEMI PƗRƗOTIMA THËXO, HIRAMAYOTIMA THËXO HISTÓRIA, EDUCAÇÃO E SAÚDE NO PAPIU/YANOMAMA/RR",Monografia,GENIVALDO YANOMAMI,Ananda Machado,Não se aplica,Orientadora Ananda Machado Membra externa- Ana Maria Antunes Machado Membra externa- Maria Edna de Brito Suplente- Membra interna - Hanna Cibele Rocha Limulja Suplete- Membro externo – Corrado Dalmonego,2024,Não informado,85,história Yanomami; escola; saúde.,Sim,"Apresento esse trabalho para vocês, falo sobre a minha história, como eu cresci, o início do meu estudo na UFRR e a história do povo Yanomami do Papiu. Aprendi a escutar e endender muito as novas palavras. Explico o que aprendi e quando voltei para o Papiu, como trabalhei depois de adquirir novos conhecimentos. Falo sobre a Língua Yanomami de Sinais, sobre como os falantes e surdos se comunicam quando se encontram e conversam com as palmas das mãos. O Tcc aborda dois livros que já produzimos nas próprias línguas yanomama na UFMG. E também fala como nós vivemos no dia a dia na nossa terra indígena Yanomami, para você aprender um pouco sobre como os yanomami vivem na floresta. Fala sobre como os Yanomama da Maloca Papiu estão enfrentando problemas como o garimpo, a malária, a desnutrição, a verminose e a diarréia. Esse trabalho de conclusão de curso pode ajudar os estudantes Yanomami no futuro. Quando vocês lerem, vão avançar o estudo de vocês.",Sim,Digital nativo,Sim,https://drive.google.com/file/d/15dZK6oRnQJ9MJUW7AUUqyReAMi-3uMUQ/view?usp=sharing,https://drive.google.com/open?id=1YFo8O4vkYC60FtSv-LwIONMW1tlwzCd4,Jelynne Ewellyn Felipe Pinto,,,04/06/2026 12:37:41,Não,Form1,,2024.0,85.0,2.0,0.912929724341066,0.0,True
10,Insikiran,Insikiran – Ciências da Natureza,PRODUÇÃO DE SABÃO ARTESANAL COMO RECURSO DIDÁTICO PARA O ENSINO DE CIÊNCIAS E EDUCAÇÃO AMBIENTAL EM CURSO DE FORMAÇÃO DE PROFESSORES INDÍGENAS,Relato de experiência,KELLY CARLOS CASTELLO,Ricardo Carvalho dos Santos,Não se aplica,Prof. Dr. Ricardo Carvalho dos Santos Membro Titular-Orientador/Licenciatura Intercultural/UFRR Profa. Dra. Hosana Carolina dos Santos Barreto Membro Titular/Curso Gestão em Saúde Coletiva Indígena/UFRR Profa. MSc. Virgínia Marne da Silva Araújo dos Santos Membro Titular/Curso de Licenciatura em Matemática/IFRR,2024,Não informado,22,Transformação química; reação de saponificação;contextualização.,Sim,"Os óleos vegetais apresentam diversas utilidades industriais e domésticas. O uso doméstico do óleo vegetal está muito voltado para frituras, mas após o seu uso na culinária esse óleo não pode ser mais utilizado e então é descartado. O descarte muitas das vezes ocorre de forma inapropriada, como o ralo da pia, mas esse óleo possui um outro uso que para muitos ainda é desconhecido, a produção caseira de sabão em barra, a qual é viável de ser realizada em casa, pode gerar renda, como também pode ser até utilizado no ensino explicando as transformações químicas que ocorrem e sua relação com tema transversal meio ambiente. Com isso, este projeto teve como objetivo principal o demonstrar o potencial de construção de uma sequência didática a partir da produção de sabão que tenha como princípio a aprendizagem por descoberta para o ensino de química/ciências para fortalecimento da formação inicial de professores indígenas. Inicialmente foram trabalhados conteúdos teóricos que envolvem a produção de sabão, bem como a contextualização de comunidades indígenas e o tema transversal Educação Ambiental. Após a aula teórica, foi feita uma aula experimental onde houve a participação ativa de todos, o que foi possível observar grande satisfação e possível interesse de desenvolvimento de aulas experimentais em escolas indígenas.",Sim,Digital nativo,Sim,https://drive.google.com/file/d/1hmwmQ9GkUGKOCHbkKy73hYm3NUa1Czy2/view?usp=sharing,https://drive.google.com/open?id=1GeX5F3E7AxfLsUfG7XfaPmwyb5nar7Qs,Jelynne Ewellyn Felipe Pinto,,,04/06/2026 12:49:01,Não,Form1,,2024.0,22.0,2.0,0.9883688836492158,0.0,True
