id,grupo_tcc,titulo,autor,orientador,pesquisador,ano_defesa,curso_fonte
81,Insikiran,RECURSO DIDÁTICO DE BAIXO CUSTO EM AULAS EXPERIMENTAIS DE QUÍMICA NA ESCOLA ESTADUAL INDÍGENA TUXAUA PEDRO TERÊNCIO,CRISHIAN DE OLIVEIRA TAULIPANG,Dr. Ricardo Carvalho dos Santos.,Jelynne Ewellyn Felipe Pinto,2022,Insikiran – Ciências da Natureza
62,Insikiran,"ARTESANATO INDIGENA NA ESCOLA JOSÉ ALAMANO, COMUNIDADE MATURUCA",Francilene da Silva,Celino Alexandre Raposo,Karimy Manuelle da Silva Balbino,2019,Insikiran – Comunicação e Artes
63,Insikiran,LENDAS E MITOS INDÍGENAS DA COMUNIDADE JABUTI,IRACEMA SANTOS MATOS,Prof. Fábio Almeida de Carvalho,Karimy Manuelle da Silva Balbino,2020,Insikiran – Comunicação e Artes
64,Insikiran,MAKUUXI YAMÎ’ PANTONI NA COMUNIDADE MANOÁ/ RORAIMA,DORINHA LAURENTINO,Profa Dra Ananda Machado,Karimy Manuelle da Silva Balbino,2021,Insikiran – Comunicação e Artes
65,Insikiran,POR UMA EDUCAÇÃO INCLUSIVA: UMA EXPERIÊNCIA NA ESCOLA ESTADUAL INDÍGENA JOSÉ ALAMANO,GRACIELA ANDRÉ SOUZA,Professora Mestre Isabel Maria Fonseca,Karimy Manuelle da Silva Balbino,2020,Insikiran – Comunicação e Artes
66,Insikiran,A ELABORAÇÃO COLETIVA DO PROJETO POLÍTICO PEDAGÓGICO DA ESCOLA ESTADUAL INDÍGENA ANTÔNIO SAYMÃ.,WALTER MELQUIOR DE LIMA,Prof Dr. Jonildo Viana dos Santos.,Elcio Leocádio da Silva Júnior,2021,Insikiran – Ciências Sociais
67,Insikiran,A IMPORTÂNCIA DO USO DAS PLANTAS MEDICINAIS,Luana Miguel Da Silva,Prof. Dr. Maxim Repetto,Elcio Leocádio da Silva Júnior,2022,Insikiran – Ciências Sociais
68,Insikiran,ESTUDO E ENSINO DE HISTÓRIA NA COMUNIDADE INDÍGENA SÃO MIGUEL DA CACHOEIRA - PANTON,JUVELINDA MONTEIRO DA SILVA,Prof Dr. Maxim Repetto.,Elcio Leocádio da Silva Júnior,2022,Insikiran – Ciências Sociais
69,Insikiran,"Novas Propostas Para A Educação Escolar Indígena: Fazer Caxiri Com Os Alunos Do 1o Ao 3o Ano Do Ensino Médio Da Comunidade Indígena Maturuca, Uiramutã - RR",JULIETA ESTEVÃO DA SILVA CORRÊA,Prof. Dr. Maxim Repetto,Elcio Leocádio da Silva Júnior,2022,Insikiran – Ciências Sociais
70,Insikiran,"EDUCAÇÃO PATRIMONIAL, CULTURA MATERIAL E ARTESANATO NO JATAPUZINHO",ROSE AFONSO MAFORE WAI WAI,Profa Dra. Fabíola Christian Almeida de Carvalho,Elcio Leocádio da Silva Júnior,2022,Insikiran – Ciências Sociais
